datetime_ist,temperature_c,humidity_pct,wind_speed_kmh,wind_direction_deg,pressure_hpa,rainfall_mm,condition
2025-07-17 00:00:00+0530,20.3,72,8.9,273,1007.8,0.0,Clear
2025-07-17 01:00:00+0530,19.7,74,10.7,34,1006.8,0.75,Rain
2025-07-17 02:00:00+0530,21.2,89,10.3,214,1008.1,2.79,Rain
2025-07-17 03:00:00+0530,23.6,89,11.4,125,1002.0,0.0,Clear
2025-07-17 04:00:00+0530,20.7,91,8.0,133,1005.7,0.0,Cloudy
2025-07-17 05:00:00+0530,22.1,96,8.9,342,1010.9,0.21,Rain
2025-07-17 06:00:00+0530,25.7,98,9.5,218,1006.1,0.0,Cloudy
2025-07-17 07:00:00+0530,25.8,81,8.4,221,1005.5,0.0,Clear
2025-07-17 08:00:00+0530,25.4,84,6.8,126,1011.9,0.0,Clear
2025-07-17 09:00:00+0530,25.1,83,7.0,137,1012.0,0.0,Clear
2025-07-17 10:00:00+0530,27.6,78,5.5,246,1009.6,0.0,Clear
2025-07-17 11:00:00+0530,28.4,73,9.3,14,1006.6,0.0,Clear
2025-07-17 12:00:00+0530,27.6,74,7.7,85,1007.3,0.66,Rain
2025-07-17 13:00:00+0530,28.0,65,6.0,216,1005.6,0.0,Clear
2025-07-17 14:00:00+0530,28.5,69,6.0,224,1005.0,0.0,Clear
2025-07-17 15:00:00+0530,25.7,65,4.4,33,1004.9,0.0,Clear
2025-07-17 16:00:00+0530,27.8,64,10.9,283,1006.1,0.0,Clear
2025-07-17 17:00:00+0530,24.3,63,8.2,195,1004.9,0.0,Clear
2025-07-17 18:00:00+0530,26.0,63,5.4,85,1003.3,0.18,Clear
2025-07-17 19:00:00+0530,23.5,59,10.4,270,1008.7,0.0,Clear
2025-07-17 20:00:00+0530,22.6,73,6.3,356,1008.7,0.0,Clear
2025-07-17 21:00:00+0530,20.2,66,3.8,152,1013.1,0.0,Clear
2025-07-17 22:00:00+0530,21.6,58,11.1,102,1006.0,0.0,Clear
2025-07-17 23:00:00+0530,21.4,66,6.4,107,1008.9,0.0,Clear
2025-07-18 00:00:00+0530,20.8,66,6.8,213,1008.9,0.0,Clear
2025-07-18 01:00:00+0530,20.1,79,8.1,17,1007.2,0.42,Rain
2025-07-18 02:00:00+0530,20.0,82,11.4,174,1010.2,0.0,Clear
2025-07-18 03:00:00+0530,20.8,83,8.1,8,1010.3,0.0,Clear
2025-07-18 04:00:00+0530,21.6,98,4.4,13,1009.0,0.0,Cloudy
2025-07-18 05:00:00+0530,22.3,92,9.6,154,1007.2,0.0,Cloudy
2025-07-18 06:00:00+0530,25.8,94,6.5,268,1006.9,0.0,Cloudy
2025-07-18 07:00:00+0530,25.3,85,13.7,318,1003.9,1.5,Rain
2025-07-18 08:00:00+0530,25.2,83,8.0,31,1005.6,0.0,Clear
2025-07-18 09:00:00+0530,24.7,86,1.3,87,1006.1,0.0,Clear
2025-07-18 10:00:00+0530,27.9,83,9.1,151,1004.6,0.0,Clear
2025-07-18 11:00:00+0530,28.5,70,13.8,206,1009.3,0.0,Clear
2025-07-18 12:00:00+0530,28.6,74,12.7,355,1011.6,0.21,Rain
2025-07-18 13:00:00+0530,25.9,71,13.5,246,1005.3,0.0,Clear
2025-07-18 14:00:00+0530,26.3,66,4.9,193,1008.9,0.0,Clear
2025-07-18 15:00:00+0530,28.3,60,10.7,21,1004.9,0.0,Clear
2025-07-18 16:00:00+0530,26.8,59,5.8,29,1007.1,0.0,Clear
2025-07-18 17:00:00+0530,25.8,60,8.7,55,1005.9,0.37,Rain
2025-07-18 18:00:00+0530,23.5,60,4.2,237,1009.8,0.0,Clear
2025-07-18 19:00:00+0530,23.5,64,6.1,119,1006.0,0.0,Clear
2025-07-18 20:00:00+0530,22.8,67,6.0,86,1011.0,0.0,Clear
2025-07-18 21:00:00+0530,21.5,63,10.7,241,1007.3,0.0,Clear
2025-07-18 22:00:00+0530,22.3,65,10.4,293,1006.1,1.64,Rain
2025-07-18 23:00:00+0530,20.0,73,8.8,158,1004.2,5.63,Rain
2025-07-19 00:00:00+0530,21.7,78,3.9,317,1008.8,0.0,Clear
2025-07-19 01:00:00+0530,20.3,77,7.1,264,1010.7,0.69,Rain
2025-07-19 02:00:00+0530,20.3,86,5.8,257,1008.8,0.0,Clear
2025-07-19 03:00:00+0530,21.7,91,10.6,312,1014.7,0.0,Cloudy
2025-07-19 04:00:00+0530,20.6,94,11.5,66,1012.3,0.0,Cloudy
2025-07-19 05:00:00+0530,22.0,98,11.2,273,1007.1,0.0,Cloudy
2025-07-19 06:00:00+0530,23.4,86,5.7,344,1007.0,0.0,Clear
2025-07-19 07:00:00+0530,23.6,90,0.2,357,1009.4,0.0,Clear
2025-07-19 08:00:00+0530,25.6,88,2.7,208,1005.5,0.7,Rain
2025-07-19 09:00:00+0530,26.9,85,12.3,271,1011.5,0.0,Clear
2025-07-19 10:00:00+0530,26.9,79,6.8,319,1009.1,0.4,Rain
2025-07-19 11:00:00+0530,27.0,71,5.7,306,1008.8,0.0,Clear
2025-07-19 12:00:00+0530,25.7,75,12.9,323,1010.1,1.19,Rain
2025-07-19 13:00:00+0530,26.7,67,11.8,299,1013.2,0.0,Clear
2025-07-19 14:00:00+0530,28.6,68,8.1,137,1008.5,0.0,Clear
2025-07-19 15:00:00+0530,27.4,60,7.1,262,1007.7,0.0,Clear
2025-07-19 16:00:00+0530,26.2,57,7.6,147,1012.5,0.0,Clear
2025-07-19 17:00:00+0530,25.9,62,8.7,288,1010.9,0.0,Clear
2025-07-19 18:00:00+0530,22.2,61,12.8,291,1007.0,2.22,Rain
2025-07-19 19:00:00+0530,22.7,63,9.3,336,1008.0,0.0,Clear
2025-07-19 20:00:00+0530,24.5,73,10.2,211,1008.6,0.25,Rain
2025-07-19 21:00:00+0530,21.5,66,11.5,171,1009.1,0.0,Clear
2025-07-19 22:00:00+0530,20.2,70,4.5,59,1003.9,0.0,Clear
2025-07-19 23:00:00+0530,20.5,66,10.3,229,1003.4,0.0,Clear
2025-07-20 00:00:00+0530,20.2,69,7.1,203,1005.3,0.0,Clear
2025-07-20 01:00:00+0530,19.5,87,0.5,185,1005.1,0.0,Clear
2025-07-20 02:00:00+0530,20.4,78,1.6,243,1006.1,0.0,Clear
2025-07-20 03:00:00+0530,22.3,80,4.9,306,1009.9,2.17,Rain
2025-07-20 04:00:00+0530,21.3,88,9.6,53,1007.5,0.0,Clear
2025-07-20 05:00:00+0530,24.1,89,8.3,155,1008.6,1.45,Rain
2025-07-20 06:00:00+0530,24.3,85,8.6,260,1004.3,0.0,Clear
2025-07-20 07:00:00+0530,23.3,88,13.9,295,1006.6,0.0,Clear
2025-07-20 08:00:00+0530,25.1,94,4.2,280,1009.8,0.0,Cloudy
2025-07-20 09:00:00+0530,23.8,82,7.9,287,1009.8,0.29,Rain
2025-07-20 10:00:00+0530,26.7,76,8.9,307,1005.8,0.0,Clear
2025-07-20 11:00:00+0530,27.1,84,5.8,346,1008.5,0.0,Clear
2025-07-20 12:00:00+0530,26.6,77,8.1,218,1014.6,0.0,Clear
2025-07-20 13:00:00+0530,28.8,68,3.2,89,1007.9,0.0,Clear
2025-07-20 14:00:00+0530,27.5,60,12.2,202,1005.9,0.75,Rain
2025-07-20 15:00:00+0530,26.1,61,6.0,255,1007.5,0.0,Clear
2025-07-20 16:00:00+0530,24.6,62,14.1,36,1008.3,0.19,Clear
2025-07-20 17:00:00+0530,25.7,66,7.9,272,1007.5,0.08,Clear
2025-07-20 18:00:00+0530,24.9,55,11.1,195,1007.9,0.86,Rain
2025-07-20 19:00:00+0530,23.3,60,7.8,337,1003.7,0.0,Clear
2025-07-20 20:00:00+0530,22.6,65,7.9,76,1005.1,0.0,Clear
2025-07-20 21:00:00+0530,20.8,55,6.2,326,1007.6,0.0,Clear
2025-07-20 22:00:00+0530,21.2,73,8.4,161,1007.5,0.0,Clear
2025-07-20 23:00:00+0530,18.7,65,9.0,206,1006.3,0.0,Clear
2025-07-21 00:00:00+0530,20.1,77,5.6,237,1007.5,1.43,Rain
2025-07-21 01:00:00+0530,18.6,80,7.6,208,1008.20,0.0,Clear
2025-07-21 02:00:00+0530,20.6,88,6.2,325,1010.07,0.0,Clear
,,,,
